Name,Calories
Sweet Potatoe Tots,410
Cheese Quesadilla,300
Wings,700
Chicken Tenders,600
Nachos,650
Torilla Chips,250
Soft Pretzel,300
Turkey Club Kraft,720
Chicken Sandwhich Kraft,800
Cheese Steak Sandwich,800
Pimento Cheese Sanwich,750
Reuben Sandwich,900
Black Bean Soup,500
Chili,500
Chopped Salad Kraft,350
Caesar Salad Kraft,320
Greek Salad,370
Classic Burger,400
Sloppy Burger,500
SouthWestern Burger,500
BBQ Burger,500
Burrito,800
KraftHouse Krazy Burger,550
Beef Taco,300
Chocolate Brownie,210
Rice Krispy Treat,320
Small Pasta,500
Large Pasta,800
Pizza,700
Ciabattas,650
Piadani,600
Fried Calamari,450
Chicken Wings,600
Signature Soup,400
Breakfast Blue Plate,500
Omelet,320
Two Biscuits with Gravy,400
Fried Chicken,500
Pulled Pork Sandwich,500
Pulled Pork Platter,400
Po Boy,490
Mac and Cheese,200
Collard Greens,50
Baked Beans,220
Green Beans,60
Dirty Rice,150
Potato Salad,280
Cole Slaw,250
Apple Bread Pudding,300
Banana Pudding,350
Seasonal Cobbler,290
Salad,280
White Bean Soup,320
Split Pea Soup,300
Chicken Noodle Soup,390
Pork Dumpling Soup,500
Farmstead Burger,490
BLT,450
Pulled Pork Farmstead,400
Turkey Sandwich Farmstead,370
Chicken Sandwich Farmstead,360
Brisket Sandwich Farmstead,450
Grilled Cheese,380
Beef Stew,500
Salmon Farmstead,420
Meatloaf,460
Lambstew,490
Chicken Potpie,600
BBQ Chicken,580
Jerk Chicken,560
KimcheeSlaw,300
Green Beans Farmstead,100
Creamed Corn,190
Jasmine Rice,120
Mashed Potatoes,300
Cheddar Mac,290
Madala Dosai,400
Chicken Tikka Dosai,450
Sada Dosai,300
Vegetable Dosai,200
Korma Beef,500
Korma Lamb,480
Korma Chicken,410
Bhunas Beef,380
Bhunas Lamb,400
Bhunas Chicken,450
Jalfrazie,400
Vindaloo,390
Aloo Methi,400
Bhindi Masala,390
Mutter Panir,400
Panir Makhani,500
Dal Makhani,290
Vegetable Makhani,200
Naan,250
Onion Kulcha,290
Garlic Naan,300
Peswari Naan,280
Chicken Tikka Naan,310
Panir Kulcha,400
Vegetarian Meal,600
Non-Vegetarian,900
Panir Tikka,500
Chicken Tikka,400
Chicken Malai Kebas,490
Chicken Tandoori,420
Fish Tandoori,300
Shrimp Tandoori,390
Shrimp Malai Kebab,430
Lamb Sheek Kebab,450
Gulab Jamun,420
Kheer,400
Rasmalai,340
Mango Lassi,200
Strawberry Lassi,190
Stirfry Bowl,400
Ginger Chicken,460
Sesame Chicken,400
Terikaki Chicken,500
Teriyaki Tofu,410
Chicken Katsu,440
Flounder Katsu,420
Mongolian Beef,470
Yakisoba Noodles,510
Pad Thai Noodles,500
Bulgogi,410
Spicy Pork,400
Honeyglazed Chicken,500
Poke Bowl Ginger and Soy,500
Gyoza,300
Mandoo,310
Ramen,400
Har Gow,380
Gelato,140
Sorbetto,180
Mango Smoothie,350
Raspberry Smoothie,300
Strawberry Smoothie,310
Apple Juice,150
Green Monster,190
Healthy Boost,200
Delicious Trio,210
Orange Juice,220
Coffee,5
Espresso,5
Red Eye,10
Americano,12
Macchiato,80
Cappuccino,80
Cafe Latte,150
Latte Nutella,160
Mocha Latte,160
Caramel Leche,120
Chai Latte,100
Croque Monsieur,470
Truffled Hummus,420
Chicken Pesto,390
Apple and Brie,300
Nutella Crepe,400
Cinnamon Sugar,370
Banana Foster,380
Crepe Suzette,200
Steak Pizzaiola,400
Eggplant Mozzarella,300
Pimento Cheese and Bacon,500
Turkey Avocado,540
Portobello Spinach Pannis,300
Garden Salad,200
Miso Soup,200
Seaweed Salad,240
Edamame,300
Seasoned Scallop Salad,300
Tuna Sashimi Bowl,500
Salmon Bowl,500
Deluxe Sashimi Bowl,650
Regular Sushi Bento,500
Deluxe Sushi Bento,690
California Roll,255
Spicy Grilled Chicken Roll,250
Veggie Roll,200
Veggie Spring Roll,290
Spicy Tuna Roll,300
Salmon Crunch Roll,340
Creamy Veggie Roll,350
Green Rainbow Roll,290
Maru Roll,300
Shrimp Tempura,340
Red Dragon,310
Rainbow,320
Salmon Rainbow,310
Spider Roll,300
Duke Roll,320
Dancing Eel Roll,350
Super Spider,320
Gyotaku Special,350
Tuna Lover,390
Tex Mex Roll,400
Shrimp Cocktail,200
Goat Cheese Gnocchi,340
Mussels,300
Fried Green Tomatoes,350
French Onion Soup,390
Vichyoisse,350
Lobster Bisque,400
Chopped Salad Commons,200
Wedge Salad,200
Caesar Salad Commons,250
House Salad,200
Aged Ribeye,690
Filet Mignon,500
Porterhouse,1000
Crab Cakes,500
Grilled Salmon,540
Seared Ahi Tuna,500
Lobster Mac and Cheese,690
Roasted Half Chicken,500
Saffron Rissoto,400
Fries,200
Potatoes au Gratin,300
Twice Baked Potato,350
Sauteed Mushroom,100
Broccoli,200
Grilled Asparagus,190
Sauteed Green Beans,150
Cheesecake,300
Creme Brulee,290
Chocolate Mousse,250
Ice Cream,300
Turkey Club ABP,610
Caprese,550
Chipotle Black Bean Burger,690
Black Angus Roast Beef,520
The Veggie,630
Trurkey Cranberry Brie,720
Grilled Chicken Avocado,690
Classic Chicken Salad,460
Turkey and Swiss,740
Tuna Salad,420
Black Forest Ham,650
Grilled Chicken,510
Thai Peanut Chicken Wrap,480
Southwest Tuna Wrap,550
Chicken Caesar Wrap,710
Mediterranean Wrap,610
Napa Chicken Wrap,640
Egg Whites and Cheddar Bagel,230
Smoked Salmon Wasabi,310
2 Egg Sandwich,300
Spinach Salad,200
Kale Salad,230
Fattouch Salad,300
Mediterranean Salad,400
Quinoa Salad,350
Roasted Brussel Sprout Salad,300
Orzo Salad,390
Moroccan Couscous,400
Beets,290
Vegan Pasta,300
Sweet Potatos,320
Cauliflower,300
Hummus,320
Baba Ghanouj,450
Tabbouleh,410
Vegetarian Lentil Soup,300
White Bean Minestrone Soup,390
Tomato Basil Soup,400
Loaded Potato Soup,300
Spicy Thai Coconut Chicken Soup,410
Stuffed Pepper,400
Lebanese Moussaka,320
Herbed Lentil and Rice,390
Begetable Curried Tofu,400
Dehydrated Tofu,410
Spanakopita,380
Pasta of the Day,400
Falafel,310
Big Cheese,350
Eggplant,200
Flank Steak,590
Coal Braised Beef Brisket,700
Prime Rib Au Jus,750
Ny Strip,600
Bone in Pork Chop,800
Rotisserie Chicken,570
Salmon JBs,540
Yellow Fin Tuna,550
Mahi Mahi,590
Market Catch,600
Garlic Mashed Potatoes,300
Roasted Seasonal Vegetables,200
Steamed Broccoli,250
Beer Battered Onion Rings,300
Casesar JBs,400
Spinach and Pear Salad,450
Apple and Fennel Salad,390
Paella Mixta,510
Verduras,470
La Marinera,500
Prime Rib Steak Sandwich,680
Chop House Steak Burger,500
Marinated Crilled Chicken Breast,460
Chocolate Torte,300
Carrot Cake,280
Tiramisu,250
Chicken Pita,400
Panini,410
Chicken Focaccia,490
Peanut Tuna Salad,430
Roast Beef,500
Veggie Pitta,390
Turkey Maffaletta,440
Loop Burger,700
Grilled Fish Sandwich,500
BBQ Bacon Cheddar,800
Portabello and Bacon,350
Garden with Chicken,250
Pesto Chicken Ciabatta,600
