allergentype,foodname
dairy,Cheese Quesadilla
fish,Wings
shellfish,Wings
tree nuts,Wings
peanuts,Wings
wheat,Wings
soybeans,Wings
dairy,Chicken Tenders
dairy,Nachos
dairy,Torilla Chips
wheat,Burrito
eggs,Chocolate Brownie
dairy,Pimento Cheese Sanwich
dairy,Chocolate Brownie
wheat,Ciabattas
wheat,Pizza
dairy,Pizza
dairy,Piadani
wheat,Piadani
fish,Fried Calamari
shellfish,Fried Calamari
wheat,Fried Calamari
wheat,Chicken Wings
eggs,Breakfast Blue Plate
wheat,Fried Chicken
wheat,Two Biscuits with Gravy
wheat,Breakfast Blue Plate
dairy,Breakfast Blue Plate
dairy,Omelet
eggs,Omelet
dairy,Two Biscuits with Gravy
eggs,Fried Chicken
dairy,Fried Chicken
wheat,Pulled Pork Sandwich
soybeans,Pulled Pork Sandwich
wheat,Pulled Pork Platter
soybeans,Pulled Pork Platter
wheat,Mac and Cheese
eggs,Mac and Cheese
dairy,Mac and Cheese
wheat,Baked Beans
soybeans,Baked Beans
eggs,Potato Salad
soybeans,Dirty Rice
dairy,Potato Salad
dairy,Cole Slaw
eggs,Cole Slaw
eggs,Apple Bread Pudding
dairy,Apple Bread Pudding
wheat,Apple Bread Pudding
eggs,Banana Pudding
dairy,Banana Pudding
wheat,Banana Pudding
dairy,White Bean Soup
tree nuts,White Bean Soup
peanuts,White Bean Soup
wheat,Split Pea Soup
wheat,Chicken Noodle Soup
wheat,Pork Dumpling Soup
wheat,Farmstead Burger
wheat,BLT
eggs,BLT
wheat,Pulled Pork Farmstead
wheat,Turkey Sandwich Farmstead
dairy,Chicken Sandwich Farmstead
tree nuts,Chicken Sandwich Farmstead
wheat,Chicken Sandwich Farmstead
wheat,Brisket Sandwich Farmstead
dairy,Grilled Cheese
wheat,Grilled Cheese
wheat,Meatloaf
wheat,Lambstew
wheat,Chicken Potpie
dairy,Creamed Corn
dairy,Mashed Potatoes
dairy,Cheddar Mac
eggs,Cheddar Mac
wheat,Cheddar Mac
dairy,Chicken Tikka Dosai
dairy,Korma Beef
tree nuts,Korma Beef
dairy,Korma Lamb
tree nuts,Korma Lamb
dairy,Korma Chicken
tree nuts,Korma Chicken
dairy,Jalfrazie
dairy,Mutter Panir
dairy,Panir Makhani
tree nuts,Panir Makhani
dairy,Dal Makhani
tree nuts,Dal Makhani
dairy,Vegetable Makhani
tree nuts,Vegetable Makhani
dairy,Naan
wheat,Naan
dairy,Garlic Naan
wheat,Garlic Naan
dairy,Peswari Naan
wheat,Peswari Naan
dairy,Chicken Tikka Naan
wheat,Chicken Tikka Naan
dairy,Panir Tikka
dairy,Chicken Tikka
dairy,Chicken Malai Kebas
dairy,Chicken Tandoori
fish,Fish Tandoori
shellfish,Shrimp Tandoori
shellfish,Shrimp Malai Kebab
wheat,Gulab Jamun
dairy,Gulab Jamun
dairy,Kheer
tree nuts,Kheer
dairy,Rasmalai
dairy,Mango Lassi
wheat,Strawberry Lassi
wheat,Ginger Chicken
soybeans,Ginger Chicken
wheat,Sesame Chicken
soybeans,Sesame Chicken
wheat,Terikaki Chicken
soybeans,Terikaki Chicken
wheat,Teriyaki Tofu
soybeans,Teriyaki Tofu
wheat,Chicken Katsu
soybeans,Chicken Katsu
dairy,Chicken Katsu
eggs,Chicken Katsu
wheat,Flounder Katsu
soybeans,Flounder Katsu
dairy,Flounder Katsu
eggs,Flounder Katsu
fish,Flounder Katsu
wheat,Mongolian Beef
soybeans,Mongolian Beef
wheat,Yakisoba Noodles
soybeans,Yakisoba Noodles
wheat,Pad Thai Noodles
soybeans,Pad Thai Noodles
wheat,Bulgogi
soybeans,Bulgogi
wheat,Spicy Pork
soybeans,Spicy Pork
dairy,Honeyglazed Chicken
eggs,Honeyglazed Chicken
wheat,Gyoza
eggs,Mandoo
wheat,Mandoo
shellfish,Har Gow
wheat,Har Gow
dairy,Gelato
soybeans,Gelato
dairy,Sorbetto
soybeans,Sorbetto
dairy,Croque Monsieur
eggs,Croque Monsieur
wheat,Croque Monsieur
dairy,Truffled Hummus
eggs,Truffled Hummus
wheat,Truffled Hummus
dairy,Chicken Pesto
tree nuts,Chicken Pesto
eggs,Chicken Pesto
wheat,Chicken Pesto
dairy,Apple and Brie
eggs,Apple and Brie
wheat,Apple and Brie
dairy,Nutella Crepe
eggs,Nutella Crepe
wheat,Nutella Crepe
tree nuts,Nutella Crepe
dairy,Cinnamon Sugar
eggs,Cinnamon Sugar
wheat,Cinnamon Sugar
dairy,Banana Foster
eggs,Banana Foster
wheat,Banana Foster
dairy,Crepe Suzette
eggs,Crepe Suzette
wheat,Crepe Suzette
wheat,Steak Pizzaiola
dairy,Eggplant Mozzarella
wheat,Eggplant Mozzarella
wheat,Pimento Cheese and Bacon
eggs,Pimento Cheese and Bacon
dairy,Pimento Cheese and Bacon
eggs,Turkey Avocado
dairy,Turkey Avocado
wheat,Portobello Spinach Pannis
tree nuts,Portobello Spinach Pannis
dairy,Portobello Spinach Pannis
soybeans,Miso Soup
fish,Tuna Sashimi Bowl
fish,Salmon Bowl
fish,Deluxe Sashimi Bowl
eggs,California Roll
fish,California Roll
shellfish,California Roll
wheat,California Roll
eggs,Spicy Grilled Chicken Roll
dairy,Spicy Tuna Roll
eggs,Spicy Tuna Roll
fish,Spicy Tuna Roll
eggs,Salmon Crunch Roll
fish,Salmon Crunch Roll
shellfish,Salmon Crunch Roll
wheat,Salmon Crunch Roll
dairy,Creamy Veggie Roll
eggs,Green Rainbow Roll
shellfish,Green Rainbow Roll
eggs,Maru Roll
fish,Maru Roll
shellfish,Maru Roll
wheat,Maru Roll
eggs,Shrimp Tempura
fish,Shrimp Tempura
shellfish,Shrimp Tempura
wheat,Shrimp Tempura
soybeans,Shrimp Tempura
eggs,Red Dragon
fish,Red Dragon
wheat,Red Dragon
soybeans,Red Dragon
eggs,Rainbow
fish,Rainbow
shellfish,Rainbow
eggs,Salmon Rainbow
fish,Salmon Rainbow
shellfish,Salmon Rainbow
soybeans,Salmon Rainbow
fish,Spider Roll
shellfish,Spider Roll
eggs,Spider Roll
wheat,Spider Roll
soybeans,Spider Roll
fish,Duke Roll
shellfish,Duke Roll
eggs,Duke Roll
wheat,Duke Roll
soybeans,Duke Roll
fish,Dancing Eel Roll
shellfish,Dancing Eel Roll
eggs,Dancing Eel Roll
wheat,Dancing Eel Roll
soybeans,Dancing Eel Roll
fish,Super Spider
shellfish,Super Spider
eggs,Super Spider
wheat,Super Spider
soybeans,Super Spider
fish,Gyotaku Special
shellfish,Gyotaku Special
eggs,Gyotaku Special
wheat,Gyotaku Special
peanuts,Gyotaku Special
eggs,Tuna Lover
fish,Tuna Lover
shellfish,Tuna Lover
eggs,Tex Mex Roll
fish,Tex Mex Roll
shellfish,Shrimp Cocktail
shellfish,Mussels
eggs,Fried Green Tomatoes
wheat,Fried Green Tomatoes
soybeans,Fried Green Tomatoes
wheat,French Onion Soup
dairy,French Onion Soup
dairy,Vichyoisse
dairy,Lobster Bisque
shellfish,Lobster Bisque
dairy,Wedge Salad
dairy,Caesar Salad Commons
eggs,Caesar Salad Commons
fish,Caesar Salad Commons
dairy,Crab Cakes
eggs,Crab Cakes
shellfish,Crab Cakes
wheat,Crab Cakes
fish,Grilled Salmon
fish,Seared Ahi Tuna
dairy,Lobster Mac and Cheese
shellfish,Lobster Mac and Cheese
wheat,Lobster Mac and Cheese
dairy,Potatoes au Gratin
dairy,Twice Baked Potato
dairy,Broccoli
eggs,Broccoli
eggs,Cheesecake
dairy,Cheesecake
wheat,Cheesecake
dairy,Creme Brulee
eggs,Creme Brulee
eggs,Chocolate Mousse
dairy,Chocolate Mousse
dairy,Ice Cream
dairy,Kale Salad
wheat,Roasted Brussel Sprout Salad
wheat,Orzo Salad
tree nuts,Beets
wheat,Beets
tree nuts,Sweet Potatos
soybeans,Cauliflower
dairy,Tomato Basil Soup
tree nuts,Stuffed Pepper
dairy,Lebanese Moussaka
soybeans,Lebanese Moussaka
dairy,Dehydrated Tofu
wheat,Dehydrated Tofu
eggs,Dehydrated Tofu
soybeans,Dehydrated Tofu
dairy,Spanakopita
wheat,Spanakopita
dairy,Big Cheese
wheat,Big Cheese
soybeans,Big Cheese
dairy,Eggplant
wheat,Eggplant
eggs,Chicken Pita
wheat,Chicken Pita
soybeans,Chicken Pita
dairy,Chicken Focaccia
eggs,Chicken Focaccia
tree nuts,Chicken Focaccia
peanuts,Chicken Focaccia
wheat,Chicken Focaccia
soybeans,Chicken Focaccia
dairy,Peanut Tuna Salad
eggs,Peanut Tuna Salad
tree nuts,Peanut Tuna Salad
peanuts,Peanut Tuna Salad
wheat,Peanut Tuna Salad
soybeans,Peanut Tuna Salad
fish,Peanut Tuna Salad
dairy,Roast Beef
eggs,Roast Beef
wheat,Roast Beef
soybeans,Roast Beef
eggs,Loop Burger
eggs,Grilled Fish Sandwich
fish,Grilled Fish Sandwich
wheat,BBQ Bacon Cheddar
dairy,BBQ Bacon Cheddar
dairy,Portabello and Bacon
wheat,Portabello and Bacon
soybeans,Portabello and Bacon
dairy,Pesto Chicken Ciabatta
