Restaurantname,Dayoftheweek,Opentime,Closetime
Au Bon Pain,1,7,22
Au Bon Pain,2,7,22
Au Bon Pain,3,7,22
Au Bon Pain,4,7,22
Au Bon Pain,5,7,22
Au Bon Pain,6,7,22
Au Bon Pain,7,7,22
Bella Union,1,8,24
Bella Union,2,8,24
Bella Union,3,8,24
Bella Union,4,8,24
Bella Union,5,8,24
Bella Union,6,10,24
Bella Union,7,11,24
Blue Express,1,8,15
Blue Express,2,8,15
Blue Express,3,8,15
Blue Express,4,8,15
Blue Express,5,8,14
The Cafe,1,7.5,22
The Cafe,2,7.5,22
The Cafe,3,7.5,22
The Cafe,4,7.5,22
The Cafe,5,7.5,22
The Cafe,6,10,21
The Cafe,7,11,21
Cafe at Smith,1,8,15.5
Cafe at Smith,2,8,15.5
Cafe at Smith,3,8,15.5
Cafe at Smith,4,8,15.5
Cafe at Smith,5,8,15.5
Cafe de Novo,1,7.5,15.5
Cafe de Novo,2,7.5,15.5
Cafe de Novo,3,7.5,15.5
Cafe de Novo,4,7.5,15.5
Cafe de Novo,5,7.5,15.5
Cafe Edens,1,0,0
Cafe Edens,2,0,0
Cafe Edens,3,0,0
Cafe Edens,4,0,0
Cafe Edens,5,0,0
Cafe Edens,6,0,0
Cafe Edens,7,0,0
Chefs Kitchen,1,11,14
Chefs Kitchen,2,11,14
Chefs Kitchen,3,11,14
Chefs Kitchen,4,11,14
Chefs Kitchen,5,11,14
Dames Express,1,10,22
Dames Express,2,10,22
Dames Express,3,10,22
Dames Express,4,10,22
Dames Express,5,10,22
Dames Express,6,12,22
Dames Express,7,12,22
Devils Kraft House,1,11.5,24
Devils Kraft House,2,11.5,24
Devils Kraft House,3,11.5,24
Devils Kraft House,4,11.5,24
Devils Kraft House,5,11.5,24
Devils Kraft House,6,11.5,24
Devils Kraft House,7,11.5,24
Divinity Cafe,1,8,16
Divinity Cafe,2,8,16
Divinity Cafe,3,8,16
Divinity Cafe,4,8,16
Divinity Cafe,5,8,16
Divinity Cafe,7,10.5,14.5
Dolce Vita,1,8,17
Dolce Vita,2,8,17
Dolce Vita,3,8,17
Dolce Vita,4,8,17
Dolce Vita,5,8,17
Freeman Center,1,17,20
Freeman Center,2,17,20
Freeman Center,3,17,20
Freeman Center,4,17,20
Freeman Center,5,19,20.5
Ginger and Soy,1,11,20
Ginger and Soy,2,11,20
Ginger and Soy,3,11,20
Ginger and Soy,4,11,20
Ginger and Soy,5,11,20
Ginger and Soy,6,11,20
Ginger and Soy,7,11,20
Gyotaku,1,11,20
Gyotaku,2,11,20
Gyotaku,3,11,20
Gyotaku,4,11,20
Gyotaku,5,11,20
Gyotaku,6,11,20
Gyotaku,7,11,20
Il Forno,1,11,20
Il Forno,2,11,20
Il Forno,3,11,20
Il Forno,4,11,20
Il Forno,5,11,20
Il Forno,6,11,20
Il Forno,7,11,20
JB's Roasts and Chops,1,11,20
JB's Roasts and Chops,2,11,20
JB's Roasts and Chops,3,11,20
JB's Roasts and Chops,4,11,20
JB's Roasts and Chops,5,11,20
JB's Roasts and Chops,6,11,20
JB's Roasts and Chops,7,11,20
Joe Van Gogh,1,7.5,20
Joe Van Gogh,2,7.5,20
Joe Van Gogh,3,7.5,20
Joe Van Gogh,4,7.5,20
Joe Van Gogh,5,7.5,20
Joe Van Gogh,6,9,17
Loop Pizza Grill,1,10.5,24
Loop Pizza Grill,2,10.5,24
Loop Pizza Grill,3,10.5,24
