Name,Location,Isfoodtruck
Au Bon Pain,West Union,0
Bella Union,McClendon Tower,0
Blue Express,LSRC,0
The Cafe,West Union,0
Cafe de Novo,Law School,0
Cafe Edens,McClendon Tower,0
Cafe at Smith,Warehouse,0
Chefs Kitchen,West Union,0
Dames Express,Devils Bistro,0
Divinity Cafe,Divinity school,0
Dolce Vita,French Science,0
Freeman Center,Freeman Center,0
Ginger and Soy,West Union,0
Gyotaku,West Union,0
Il Forno,West Union,0
JB's Roasts and Chops,West Union,0
Joe Van Gogh,Byran Center Plaza,0
Loop Pizza Grill,Bryan Center,0
Marketplace,East Campus,0
McDonalds,Br]yan Center,0
Nasher Museum Cafe,Nasher,0
Panda Express,Bryan Center Plaza,0
Quenchers,Wilson Gym,0
Red Mango,Bryan Center,0
Saladelia at Perkins,Perkins,0
Saladelia at Sanford,Sanford,0
Sprout,West Union,0
Tandoor,West Union,0
Terrace Cafe,Duke Gardens,0
The Commons,West Union,0
Devils Kraft House,West Union,0
The Farmstead,West Union,0
The Skillet,West Union,0
Trinity Cafe,East Campus,0
Twinnies,Ciemas,0
