Restaurantname,Foodname,Price
Devils Kraft House,Sweet Potatoe Tots,4.25
Devils Kraft House,Cheese Quesadilla,6.55
Devils Kraft House,Wings,7.85
Devils Kraft House,Chicken Tenders,6.85
Devils Kraft House,Nachos,8.35
Devils Kraft House,Torilla Chips,3.75
Devils Kraft House,Soft Pretzel,3
Devils Kraft House,Turkey Club Kraft,9.25
Devils Kraft House,Chicken Sandwhich Kraft,9.35
Devils Kraft House,Cheese Steak Sandwich,9.45
Devils Kraft House,Pimento Cheese Sanwich,8.95
Devils Kraft House,Reuben Sandwich,10
Devils Kraft House,Black Bean Soup,3.85
Devils Kraft House,Chili,6.25
Devils Kraft House,Chopped Salad Kraft,7.95
Devils Kraft House,Caesar Salad Kraft,7.75
Devils Kraft House,Greek Salad,7.8
Devils Kraft House,Classic Burger,8.75
Devils Kraft House,Sloppy Burger,9.45
Devils Kraft House,SouthWestern Burger,9.55
Devils Kraft House,BBQ  Burger,9.5
Devils Kraft House,Burrito,10
Devils Kraft House,KraftHouse Krazy Burger,9.5
Devils Kraft House,Beef Taco,8.55
Devils Kraft House,Chocolate Brownie,6
Devils Kraft House,Rice Krispy Treat,3
Il Forno,Small Pasta,5
Il Forno,Large Pasta,7
Il Forno,Pizza,8.5
Il Forno,Ciabattas,7.5
Il Forno,Piadani,7
Il Forno,Fried Calamari,6.5
Il Forno,Chicken Wings,8.5
Il Forno,Signature Soup,4.5
The Skillet,Breakfast Blue Plate,7
The Skillet,Omelet,8
The Skillet,Two Biscuits with Gravy,4
The Skillet,Fried Chicken,9
The Skillet,Pulled Pork Sandwich,8
The Skillet,Pulled Pork Platter,9
The Skillet,Po Boy,8
The Skillet,Mac and Cheese,2.5
The Skillet,Collard Greens,2.5
The Skillet,Baked Beans,2.5
The Skillet,Green Beans,2.5
The Skillet,Dirty Rice,2.5
The Skillet,Potato Salad,2.5
The Skillet,Cole Slaw,2.5
The Skillet,Apple Bread Pudding,5
The Skillet,Banana Pudding,4
The Skillet,Seasonal Cobbler,4
The Farmstead,Salad,8
The Farmstead,White Bean Soup,5
The Farmstead,Split Pea Soup,5
The Farmstead,Chicken Noodle Soup,5
The Farmstead,Pork Dumpling Soup,5
The Farmstead,Farmstead Burger,10
The Farmstead,BLT,10
The Farmstead,Pulled Pork Farmstead,10
The Farmstead,Turkey Sandwich Farmstead,10
The Farmstead,Chicken Sandwich Farmstead,10
The Farmstead,Brisket Sandwich Farmstead,10
The Farmstead,Grilled Cheese,10
The Farmstead,Beef Stew,10
The Farmstead,Salmon Farmstead,10
The Farmstead,Meatloaf,10
The Farmstead,Lambstew,10
The Farmstead,Chicken Potpie,10
The Farmstead,BBQ Chicken,10
The Farmstead,Jerk Chicken,10
The Farmstead,KimcheeSlaw,3
The Farmstead,Green Beans Farmstead,3
The Farmstead,Creamed Corn,3
The Farmstead,Jasmine Rice,3
The Farmstead,Mashed Potatoes,3
The Farmstead,Cheddar Mac,3
Tandoor,Madala Dosai,8
Tandoor,Chicken Tikka Dosai,10
Tandoor,Sada Dosai,6
Tandoor,Vegetable Dosai,8
Tandoor,Korma Beef,12
Tandoor,Korma Lamb,12
Tandoor,Korma Chicken,10
Tandoor,Bhunas Beef,12
Tandoor,Bhunas Lamb,12
Tandoor,Bhunas Chicken,10
Tandoor,Jalfrazie,8
Tandoor,Vindaloo,8
Tandoor,Aloo Methi,8
Tandoor,Bhindi Masala,8
Tandoor,Mutter Panir,8
Tandoor,Panir Makhani,8
Tandoor,Dal Makhani,8
Tandoor,Vegetable Makhani,8
Tandoor,Naan,2
Tandoor,Onion Kulcha,3
Tandoor,Garlic Naan,3
Tandoor,Peswari Naan,4
Tandoor,Chicken Tikka Naan,5
Tandoor,Panir Kulcha,4
Tandoor,Vegetarian Meal,7
Tandoor,Non-Vegetarian,8
Tandoor,Panir Tikka,10
Tandoor,Chicken Tikka,10
Tandoor,Chicken Malai Kebas,10
Tandoor,Chicken Tandoori,10
Tandoor,Fish Tandoori,12
Tandoor,Shrimp Tandoori,12
Tandoor,Shrimp Malai Kebab,12
Tandoor,Lamb Sheek Kebab,12
Tandoor,Gulab Jamun,3
Tandoor,Kheer,3
Tandoor,Rasmalai,3
Tandoor,Mango Lassi,3
Tandoor,Strawberry Lassi,3
Ginger and Soy,Stirfry Bowl,8.95
Ginger and Soy,Ginger Chicken,7.95
Ginger and Soy,Sesame Chicken,7.95
Ginger and Soy,Terikaki Chicken,7.95
Ginger and Soy,Teriyaki Tofu,7.95
Ginger and Soy,Chicken Katsu ,8.95
Ginger and Soy,Flounder Katsu,8.95
Ginger and Soy,Mongolian Beef,9.95
Ginger and Soy,Yakisoba Noodles,8.95
Ginger and Soy,Pad Thai Noodles,7.95
Ginger and Soy,Bulgogi,8.95
Ginger and Soy,Spicy Pork,8.95
Ginger and Soy,Honeyglazed Chicken ,8.95
Ginger and Soy,Poke Bowl Ginger and Soy,8.95
Ginger and Soy,Gyoza,3.95
Ginger and Soy,Mandoo,4.95
Ginger and Soy,Ramen ,7.95
Ginger and Soy,Har Gow,4.95
The Cafe,Gelato,4
The Cafe,Sorbetto,4
The Cafe,Mango Smoothie,4.75
The Cafe,Raspberry Smoothie,4.75
The Cafe,Strawberry Smoothie,4.75
The Cafe,Apple Juice,4.75
The Cafe,Green Monster,4.75
The Cafe,Healthy Boost,4.75
The Cafe,Delicious Trio,4.75
The Cafe,Orange Juice,4.75
The Cafe,Coffee,2
The Cafe,Espresso,2.25
The Cafe,Red Eye,3
The Cafe,Americano ,2.5
The Cafe,Macchiato,3
The Cafe,Cappuccino,3.5
The Cafe,Cafe Latte,3.5
The Cafe,Latte Nutella,3.5
The Cafe,Mocha Latte,4
The Cafe,Caramel Leche,4
The Cafe,Chai Latte,3.75
The Cafe,Croque Monsieur,7
The Cafe,Truffled Hummus,7
The Cafe,Chicken Pesto,8
The Cafe,Apple and Brie,7
The Cafe,Nutella Crepe,6
The Cafe,Cinnamon Sugar,5
The Cafe,Banana Foster,6
The Cafe,Crepe Suzette ,6
The Cafe,Steak Pizzaiola,8.5
The Cafe,Eggplant Mozzarella,7
The Cafe,Pimento Cheese and Bacon,6.25
The Cafe,Turkey Avocado,8
The Cafe,Portobello Spinach Pannis,7
Gyotaku,Garden Salad,3.95
Gyotaku,Miso Soup,1.95
Gyotaku,Seaweed Salad ,3.95
Gyotaku,Edamame,3.95
Gyotaku,Seasoned Scallop Salad,4.95
Gyotaku,Tuna Sashimi Bowl,9.95
Gyotaku,Salmon Bowl,9.95
Gyotaku,Deluxe Sashimi Bowl,13.95
Gyotaku,Regular Sushi Bento,12.95
Gyotaku,Deluxe Sushi Bento,14.95
Gyotaku,California Roll,6.25
Gyotaku,Spicy Grilled Chicken Roll,6.25
Gyotaku,Veggie Roll,6.25
Gyotaku,Veggie Spring Roll,6.25
Gyotaku,Spicy Tuna Roll,7.49
Gyotaku,Salmon Crunch Roll,7.49
Gyotaku,Creamy Veggie Roll,7.49
Gyotaku,Green Rainbow Roll,7.49
Gyotaku,Maru Roll,7.49
Gyotaku,Shrimp Tempura,8.49
Gyotaku,Red Dragon,8.49
Gyotaku,Rainbow,8.49
Gyotaku,Salmon Rainbow,8.49
Gyotaku,Spider Roll,8.49
Gyotaku,Duke Roll,8.49
Gyotaku,Dancing Eel Roll,8.49
Gyotaku,Super Spider,9.95
Gyotaku,Gyotaku Special,9.95
Gyotaku,Tuna Lover,9.95
Gyotaku,Tex Mex Roll,9.95
The Commons,Shrimp Cocktail,10
The Commons,Goat Cheese Gnocchi,7
The Commons,Mussels,9
The Commons,Fried Green Tomatoes,9
The Commons,French Onion Soup,5
The Commons,Vichyoisse,4
The Commons,Lobster Bisque,6
The Commons,Chopped Salad Commons,8
The Commons,Wedge Salad,5
The Commons,Caesar Salad Commons,5
The Commons,House Salad ,4
The Commons,Aged Ribeye,23
The Commons,Filet Mignon,20
The Commons,Porterhouse,38
The Commons,Crab Cakes,18
The Commons,Grilled Salmon,19
The Commons,Seared Ahi Tuna,24
The Commons,Lobster Mac and Cheese,21
The Commons,Roasted Half Chicken,18
The Commons,Saffron Rissoto,16
The Commons,Fries,3
The Commons,Potatoes au Gratin,3
The Commons,Twice Baked Potato,3
The Commons,Sauteed Mushroom,3
The Commons,Broccoli,3
The Commons,Grilled Asparagus,3
The Commons,Sauteed Green Beans,3
The Commons,Cheesecake,5
The Commons,Creme Brulee,6
The Commons,Chocolate Mousse,5
The Commons,Ice Cream,6
Au Bon Pain,Turkey Club ABP,7
Au Bon Pain,Caprese ,7
Au Bon Pain,Chipotle Black Bean Burger,7
Au Bon Pain,Black Angus Roast Beef,7
Au Bon Pain,The Veggie,7
Au Bon Pain,Trurkey Cranberry Brie,7
Au Bon Pain,Grilled Chicken Avocado,7
Au Bon Pain,Classic Chicken Salad,6
Au Bon Pain,Turkey and Swiss ,7
Au Bon Pain,Tuna Salad,6
Au Bon Pain,Black Forest Ham ,7
Au Bon Pain,Grilled Chicken,7
Au Bon Pain,Thai Peanut Chicken Wrap,6.8
Au Bon Pain,Southwest Tuna Wrap,6.8
Au Bon Pain,Chicken Caesar Wrap,7
Au Bon Pain,Mediterranean Wrap,7
Au Bon Pain,Napa Chicken Wrap,7
Au Bon Pain,Egg Whites and Cheddar Bagel,4
Au Bon Pain,Smoked Salmon Wasabi,5
Au Bon Pain,2 Egg Sandwich,5
Sprout,Spinach Salad,4
Sprout,Kale Salad,4
Sprout,Fattouch Salad,4
Sprout,Mediterranean Salad,4
Sprout,Quinoa Salad,4
Sprout,Roasted Brussel Sprout Salad,4
Sprout,Orzo Salad,4
Sprout,Moroccan Couscous,4
Sprout,Beets,4
Sprout,Vegan Pasta,4
Sprout,Sweet Potatos,4
Sprout,Cauliflower,4
Sprout,Hummus,4
Sprout,Baba Ghanouj,4
Sprout,Tabbouleh,4
Sprout,Vegetarian Lentil Soup,4
Sprout,White Bean Minestrone Soup,4
Sprout,Tomato Basil Soup,4
Sprout,Loaded Potato Soup,4
Sprout,Spicy Thai Coconut Chicken Soup,4
Sprout,Stuffed Pepper,5.5
Sprout,Lebanese Moussaka,5.5
Sprout,Herbed Lentil and Rice,5.5
Sprout,Begetable Curried Tofu,5.5
Sprout,Dehydrated Tofu,5.5
Sprout,Spanakopita,5.5
Sprout,Pasta of the Day,5.5
